"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA",107,0.358494480438717,1.46705830577235,0.012275012689304,0.0393776400950455,0.0246962270427008,2434,"tags=22%, list=14%, signal=19%","Angptl7/Tspan8/Nrxn1/Slc35f1/Fads2/Mia/Fads1/Mt3/Metrn/Tmem176b/Tmem176a/Itgb8/Plekha4/Apoc1/Erbb3/Kcnmb4/Lgals1/Aldh1a7/Rnase1/Sparc/Tmod2/Dbi/Stmn1/Scn7a"
"DESCARTES_FETAL_INTESTINE_SMOOTH_MUSCLE_CELLS","DESCARTES_FETAL_INTESTINE_SMOOTH_MUSCLE_CELLS",42,0.464095066000488,1.58845538273442,0.0123475214077203,0.0394652443113785,0.0247511692284497,3667,"tags=36%, list=20%, signal=28%","Kcnma1/Tnmd/Myocd/Mylk/Ntm/Aoc3/Fgf7/Capn3/Jph2/Sertad4/Wif1/Psd/Kcnj8/Myl9/Ano1"
"DESCARTES_MAIN_FETAL_SMOOTH_MUSCLE_CELLS","DESCARTES_MAIN_FETAL_SMOOTH_MUSCLE_CELLS",36,0.473194501728166,1.58392763687935,0.0124071712695933,0.0394652443113785,0.0247511692284497,3673,"tags=42%, list=20%, signal=33%","Rfx8/Mylk/Notch3/Avpr1a/Septin4/Aoc3/Ebf2/Pdgfrb/Higd1b/Col6a3/Gjc1/Kcnj8/Cspg4/Ano1/Rasl12"
"DESCARTES_MAIN_FETAL_RETINAL_PIGMENT_CELLS","DESCARTES_MAIN_FETAL_RETINAL_PIGMENT_CELLS",102,0.357103358327059,1.44825717417003,0.0124151864849904,0.0394652443113785,0.0247511692284497,4642,"tags=36%, list=26%, signal=27%","Ugt3a2/Slc38a11/Sostdc1/Trpm3/Bco1/Ranbp17/Col4a3/Tbc1d30/Pard3b/Prmt7/Plce1/Cndp1/Kcnj13/Crppa/Zfp458/Apold1/Rdh5/Rad54b/Mesp2/Nbea/Mlana/Snx25/Tyr/Cngb3/Rlbp1/Dct/Efr3b/Vat1l/Zbtb12/Rbm11/Pknox2/Pmel/Adamtsl3/Gem/Enpp2/Tmem98/Kcnq4"
"HE_LIM_SUN_FETAL_LUNG_C7_LATE_SCHWANN_CELL","HE_LIM_SUN_FETAL_LUNG_C7_LATE_SCHWANN_CELL",92,0.372814297336058,1.49474062875219,0.0124848369000534,0.0395667489672388,0.0248148292654902,3513,"tags=39%, list=20%, signal=32%","Ptx3/Trpm3/Mia/Col28a1/Tgfbr3/Tspan11/Tmem176b/Tmem176a/Fbln5/Plekha4/Vamp5/Rps4x/Matn2/Marchf3/Gpr17/Ntm/Aldh1a7/Rnase1/Scn7a/Frmd3/Smim5/Nfix/Olfml2a/Col16a1/Cdc42ep5/Bgn/Rasgef1c/Hspg2/Gjc3/Col4a1/Fam102a/Mal2/Shfl/Lamb1/Myl9/Igfbp7"
"DESCARTES_MAIN_FETAL_RETINAL_PROGENITORS_AND_MULLER_GLIA","DESCARTES_MAIN_FETAL_RETINAL_PROGENITORS_AND_MULLER_GLIA",41,0.446466153116081,1.52232843234685,0.0125270454643984,0.0395809358197408,0.0248237267446069,1882,"tags=29%, list=11%, signal=26%","Rtkn2/Gabrg3/Vstm2b/Dapl1/Ephb2/Fam184b/Pwwp3a/Grb10/Arhgef26/Abhd12b/Gatb/Nr2e1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",193,-0.263623473735284,-1.32570556538301,0.0127308394347464,0.0401040557569039,0.0251518085876925,3732,"tags=34%, list=21%, signal=27%","Plscr1/C3/Was/Rabif/Ctsl/Dock10/Msrb1/C1qa/Prdm4/Olr1/Calm1/Fn1/Rbsn/Pla2g4a/Rhog/Hspa5/Mmp14/Casp3/Klk1/Ctsc/Cd55/Gnai2/Hspa1a/Cxcl1/F5/Clu/Casp4/Jak2/Pla2g7/Dusp5/Cxcl2/Dpp4/Dyrk2/Gmfb/Lcp2/Lyn/Plek/Kif2a/Ang/Ehd1/Cdk5r1/Cr1l/Serpine1/Usp15/Vcpip1/Ppp2cb/Raf1/Gnai3/Mmp13/S100a9/Pim1/Pik3cg/Dusp6/Sh2b3/Gngt2/Gpd2/Cfh/Ltf/Pik3ca/Brpf3/Cebpb/Cd59b/Serpinb2/Cxcl3/Ctsh/Mmp8"
"RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS","RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS",172,0.32518511320272,1.41230817537676,0.012917955627601,0.0405716630339923,0.0254450749046663,5707,"tags=47%, list=32%, signal=32%","Cd3e/Rplp0/Plac8/Cd3g/Rpsa/Rpl10a/Rps4x/Rps6/Rps18/Cuta/Rpl14/Rpl7/Eif3f/Rpl7a/Isg20/Rpl21/Ptprcap/Rpl3/Rpl29/Rpl4/Rpl19/Rack1/Rpl18/Eef1b2/Rpl37a/Hnrnpa1/Rpl13/Rpl18a/Rps9/Rps5/Rps26/Rpl27a/Rpl8/Rps12/Hmgn1/Lck/Eef1d/Rplp1/Rpl31/Rpl32/Rpl6/Uba52/Rps2/Rps15/Rps10/Rps23/Rps27a/Rpl36a/Arpc1b/Rps3a1/Rps25/Rpl28/Rpl12/Rpl9/Rpl13a/Eif3d/Rps13/Commd6/Rpl36/Rps20/Rpl15/Rps19/Rpl11/Cd52/Rps3/Btf3/Evl/Npm1/Rpl27/Traf3ip3/Rpl23a/Cd3d/Eif3h/Rps14/Crip1/Rpl10/Sh3bgrl3/Rps8/Ets1/Eif3l"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",182,0.322204496796583,1.4110152214793,0.0131948578956577,0.041317629649388,0.0259129180983066,3191,"tags=26%, list=18%, signal=21%","Krt1/Calm4/Tfap2b/Actc1/Arpp21/Magix/Igfbp2/Ryr2/Slc38a3/Krt15/Sptbn2/Cacng1/Tshb/Dcc/Edar/Msh5/Edn1/Synpo/Gpr3/P2ry4/Chrng/Kcnd1/Lgals7/Celsr2/Fgfr3/Plag1/Epha5/Itih3/Stag3/Tfcp2l1/Capn9/Bard1/Macroh2a2/Kcnn1/Atp6v1b1/Thnsl2/Ugt2b1/Prodh/Thrb/Zfp112/Copz2/Ryr1/Ptgfr/Ccdc106/Cyp39a1/Grid2/Chst2"
"LAKE_ADULT_KIDNEY_C6_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3","LAKE_ADULT_KIDNEY_C6_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3",168,-0.276068540154649,-1.36392807990541,0.0139768486857924,0.0436360543791555,0.0273669499643492,3816,"tags=36%, list=21%, signal=28%","Fnip2/Rnf19a/Plscr1/Nt5c2/Ctsl/Mgst1/Msra/Sqstm1/Calm1/Slc3a1/Galnt14/Macf1/Txnrd1/Snx13/Gclc/Lrrk2/Hspa5/Skap2/Tm9sf3/Glrx/Cdh6/Atm/Agap1/Ralgapa2/Tmtc2/Clu/Nrg1/Dicer1/Ftl1/Cd24a/Ptgr1/Pitpnc1/Pnrc1/Fcho2/Lpgat1/Zbtb38/Ezr/Tgm2/Maml2/Vmp1/Trps1/Btg1/Cab39/Hspa9/Spag9/Hsp90aa1/Zbtb20/Krt18/Tax1bp1/Ccnl1/Nufip2/Chd1/Cd59b/Ash1l/Zfp292/Cryab/Arhgef3/Fth1/Ctsh/Fmnl2"
