"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"a",2.31952509159618,-0.475003888811676,1.64910765249844,-0.288036919901519,0.7733184776866,0.999965909459324,"a"
"A1cf",1.42884803793062,3.58110333386134,2.74285192293457,1.30561307517831,0.191684171613027,0.999965909459324,"A1cf"
"A2m",518.455566435457,0.928041848977775,0.462496816567117,2.00659078232401,0.0447932536043054,0.999965909459324,"A2m"
"A2ml1",2.24737508101185,2.56401047057273,2.06642349898314,1.2407962219915,0.214681037255422,0.999965909459324,"A2ml1"
"A3galt2",12.8929141112121,0.0495304527355627,0.69360422578517,0.0714102522652505,0.943071250314493,0.999965909459324,"A3galt2"
"A4galt",328.481588975639,0.227017021480997,0.362702787483864,0.625903713218904,0.531378098841323,0.999965909459324,"A4galt"
"A4gnt",3.6730542712559,0.76376654427869,1.15312164298112,0.662346898896248,0.507748926723663,0.999965909459324,"A4gnt"
"AA386476",25.9459316363918,0.282789855610493,0.37050642768953,0.763252225808778,0.44531298770003,0.999965909459324,"AA386476"
"AA387883",0.554037612935296,-0.36608007816107,5.02949957215008,-0.072786581032469,0.941975949416035,0.999965909459324,"AA387883"
"AA388235",3.95657195579156,-1.7408248388693,1.19307085631671,-1.45911270035011,0.14453409121705,0.999965909459324,"AA388235"
"AA413626",4.98299170975085,-0.266185604672604,1.00150892844335,-0.265784554798065,0.790405139001911,0.999965909459324,"AA413626"
"AA414768",238.533221164329,0.120189742711865,0.20577255399013,0.584090251013894,0.559159593496498,0.999965909459324,"AA414768"
"AA465934",7.08008043441594,0.453073965443309,0.646022314056817,0.701328662470105,0.483097930270615,0.999965909459324,"AA465934"
"AA467197",681.358826231206,-0.350321363392396,0.469027516955176,-0.746910044141132,0.455117862605681,0.999965909459324,"AA467197"
"AA474408",35.7084525597417,-0.232013948551758,0.662765986186014,-0.350069184882159,0.72628677635907,0.999965909459324,"AA474408"
"AA536875",1.13592759253639,-1.25415268112572,2.65747192569071,-0.471934498724668,0.636973542678416,0.999965909459324,"AA536875"
"AA543401",0,NA,NA,NA,NA,NA,"AA543401"
"AA914427",13.5046224239576,0.440733804755536,0.501252454570867,0.879265130248306,0.379257537747281,0.999965909459324,"AA914427"
