"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"AIZARANI_LIVER_C11_HEPATOCYTES_1","AIZARANI_LIVER_C11_HEPATOCYTES_1",260,0.713287392512834,3.4314377090875,1.7679070366117e-56,1.85453448140568e-53,1.33244361917261e-53,2279,"tags=57%, list=13%, signal=50%","Slc10a1/Alb/Fgb/Fga/Ttr/Mat1a/Hpd/Cyp2e1/Aldob/Apoc3/Apoa5/Fgg/Pah/Pck1/Hpx/Ces1d/Hmgcs2/Apoh/Serpinc1/Apoa2/Vtn/Apoc1/Itih3/Hgd/Cps1/Bhmt/Slc27a5/Cyp3a11/Gnmt/Cyp2b19/Igf2/Itih2/Ambp/Tdo2/Mlxipl/Aldh8a1/Apof/Fgl1/Agt/Upb1/Fbp1/Angptl3/Bche/Serpina3k/Cdo1/Tlcd4/Klkb1/Scd1/Akr1d1/Proz/Serpina3m/Serpina1b/Apoc4/Pbld1/Hsd17b13/Apob/Ftcd/Adh1/Apoa1/Aox1/Slc27a2/Itih1/Ahsg/C2/Mttp/Baat/F2/Gc/F9/C8a/Prg4/Rbp4/Cfi/Cfb/F12/G6pc/Haao/Cyp8b1/Kng2/Abat/Serpinf2/C1s1/Hal/Slc7a2/C6/Dpys/Cfhr2/Slc2a2/Ugt2b1/Apom/Hlf/Mst1/Fmo5/Rida/Acaa2/Pcbd1/Glyat/Zfand5/Rgn/Serpina3n/C9/Glud1/Slc22a1/Maob/Aldh1a7/Mgst1/Asgr1/Agxt/Ghr/Hamp/C4bp/Aldh1l1/Serping1/Pon1/Cfhr1/Hc/Cpb2/Klf15/Plg/Ppargc1a/Nnmt/Hpgd/Gys2/Asgr2/Acadm/Phyh/Orm2/A1cf/Ggh/Cfh/Dhtkd1/Aldh6a1/Serpina3c/Serpina1e/Acsm5/Msmo1/Acadsb/Sds/Aadac/C3/Pipox/Sdc2/Cyp4f14/Hp/Hao1/Cp/Proc/Hpn"
"FAN_EMBRYONIC_CTX_NSC_2","FAN_EMBRYONIC_CTX_NSC_2",231,-0.709424331556018,-3.43652958747232,2.39523145683689e-53,1.25629889911095e-50,9.02624064786953e-51,2775,"tags=64%, list=15%, signal=55%","Smc4/Tubb4b/Mkks/Tmsb15b1/Kmt5a/H2az1/Dbf4/Neil3/Depdc1a/Arhgef39/Smtn/Mrpl51/Ska1/Nde1/Cenpw/Kifc5b/Ncapg2/Rtkn2/Fam110a/Ncapd3/Melk/Ucp2/Aspm/Nudt1/Kpna2/Tmsb15b2/Cenpn/Nuf2/Psrc1/H2az2/Rhno1/Lsm5/Ccdc18/Tubg1/Jade1/Cdca5/Fam83d/Pif1/Kif15/Ncapd2/Arhgap11a/Kif14/Lmnb1/Kif22/Orc6/Ilf2/Lgals1/Bub3/Hmgb2/Cip2a/Wdr54/Ppp2r5d/Kifc1/Kif11/Troap/Mxd3/Bub1b/Diaph3/Pimreg/Ckap2/Ska2/Dcxr/Sgo1/Stil/Ruvbl2/Cenpm/Asf1b/Nek2/Racgap1/Foxm1/Ska3/Kif18b/Dtymk/Spc25/Trim59/Shcbp1/Ect2/Kif20a/Aurkb/Cdc25c/Espl1/Ncapg/Cks2/Ccna2/Plk1/Trip13/Knl1/Hjurp/Ckap2l/Kif4/Calm3/Hirip3/Rangap1/Kif2c/Cdc25b/Prc1/Ccnb1/Cep55/Tpm2/Hyls1/Sgo2a/Plk4/Cdc20/Actn1/Cdk1/Rexo5/Tacc3/Nusap1/H2ax/Cenpf/Cdca8/Aurka/Spdl1/Tk1/Gtse1/Parpbp/Birc5/Kif20b/Ube2s/Spag5/Mis18bp1/Smc2/Cdca2/Mad2l1/Ccnb2/Tpx2/Kif23/Cks1b/Ccnf/Mki67/Ttk/Pbk/Ube2c/Cenpe/Prr11/Rrm2/Dlgap5/Top2a/Phf19/Hmmr/Cdca3/Knstrn/Ncaph/Ndc80/Cox8a/Bub1/Cenpa/Ube2t"
"HE_LIM_SUN_FETAL_LUNG_C5_PRO_B_CELL","HE_LIM_SUN_FETAL_LUNG_C5_PRO_B_CELL",458,-0.57028627006829,-2.9704827172419,2.3317243415101e-48,8.15326278081366e-46,5.85794606498679e-46,4118,"tags=57%, list=23%, signal=45%","Abhd3/Mms22l/Pola1/Cpne2/Tmem106c/Tpgs2/Depdc1b/Prxl2a/Itga5/Mdk/Amotl1/Slc27a3/Lrr1/Chek2/Rab34/Hmgb3/Chtf18/Cdkn2c/Plekha5/Pkmyt1/Hells/Crtap/Smim3/Cbx5/Pidd1/Cdkn3/Oip5/Fbxo5/Esco2/Cntln/Poc1a/Fancl/Bcl2l12/Nenf/Fen1/Ttf2/Mcm4/Fads2/Ets2/Atad5/Ccdc167/Pold1/H2bc6/Lin9/Dnajc9/H2ac8/Mastl/Paqr4/H2ac10/Tcf19/Ada/Mns1/Gpr176/Fignl1/Ung/Phgdh/Exo1/Plcb1/Prim1/Cep41/Fhl1/Brca1/Kmt5a/Rmi2/Bard1/Cenph/Mcm10/Neil3/Depdc1a/Gins2/Arhgef39/Cchcr1/Fbln1/Elk3/Katnal1/Ska1/Aldh7a1/Cenpq/Psmg1/Cenpw/Kifc5b/Tfdp1/Ccdc81/Ctbp2/Slc20a1/Ncapg2/Cep78/Mis18a/Ncapd3/Dsn1/Hspb11/Samd1/Melk/Uck2/Uhrf1/H2bc4/Ctnnal1/Prim2/Ccn2/Tyms/Aspm/Nsd2/Gen1/Sac3d1/Map3k20/E2f7/Cenpn/Nuf2/Tedc1/Psrc1/Rhno1/Mybl2/Psmc3ip/Tubg1/Mcm2/Tceal9/Limk2/Bex3/Cdca7/Cdca5/Kif15/Ncapd2/Dtl/Acyp1/Smco4/Arhgap11a/Dhfr/Kif14/Cit/Kif22/H2ac4/Orc6/Mcm6/Chek1/Fancd2/Incenp/Ccne2/H4c1/Orc1/Cip2a/Kifc1/Shmt1/Kif11/Rad51ap1/Troap/E2f8/Mxd3/Bub1b/Chaf1b/Diaph3/Pimreg/H3c2/Ckap2/Ska2/Rrm1/Sgo1/Cenpm/Rfwd3/Asf1b/Donson/H3c11/Racgap1/Foxm1/Ska3/Lig1/Dtymk/Spc25/Clspn/Shcbp1/Ect2/Chaf1a/Kif20a/Aurkb/Cdc25c/Ncapg/Ncaph2/Ccna2/Pclaf/Plk1/Trip13/Fanci/Knl1/Lmnb2/Slc2a5/Hjurp/Fanca/Ckap2l/Kif4/Mcm3/Tmem97/Hirip3/Kif2c/Prc1/Ccnb1/Cep55/Scmh1/Cenpu/Gmnn/Akip1/Sgo2a/H3c4/Plk4/Cdc20/Haus4/Cdk1/Rexo5/Tacc3/Nusap1/Cenpf/Gins4/Cdca8/Aurka/Spdl1/Tk1/Gtse1/Parpbp/Birc5/Kif20b/Spc24/Ube2s/Ddx11/Spag5/Smc2/Atad2/Cdca2/Rad54l/Mad2l1/H2bc3/Ccnb2/Tpx2/Kif23/Anln/Cks1b/Cbx2/Ccnf/Mki67/Ttk/Cdc6/Rfc2/Pbk/Ube2c/Cenpe/Prr11/H4c2/Kntc1/Rrm2/Dlgap5/Cmc2/Top2a/H1f5/Phf19/Hmmr/Cdca3/Knstrn/Ncaph/H3c7/Ndc80/Cdc45/Bub1/Cenpa/Ube2t/H3c8"
"DESCARTES_FETAL_LIVER_HEPATOBLASTS","DESCARTES_FETAL_LIVER_HEPATOBLASTS",357,0.619146146657628,3.06819503821006,2.71454824724839e-46,7.1189027784089e-44,5.11478038165749e-44,2279,"tags=46%, list=13%, signal=41%","Alb/Fgb/Fga/Ttr/Mat1a/Aldob/Apoc3/Apoa5/Fgg/Pah/Pck1/Hpx/Hmgcs2/Apoh/Slc38a3/Serpinc1/Apoa2/Vtn/Apoc1/Itih3/Hgd/Cps1/Bhmt/Cyp3a11/Onecut2/Itih2/Ambp/Tdo2/Cpn1/Mlxipl/Aldh8a1/Elovl2/Apof/Fgl1/Agt/Ttc36/Fbp1/Angptl3/Serpina3k/Cdo1/Gcgr/Klkb1/Scd1/Akr1d1/Proz/Smoc1/Gldc/Serpina3m/Serpina1b/Apoc4/Pbld1/Apob/Uroc1/Ftcd/Adh1/Hsd17b2/Apoa1/Nr1i3/Itih1/Gjb1/Ahsg/Mttp/Baat/Fetub/Ngef/Reep6/Krt222/Efhd1/F2/Hmgcs1/Gc/F9/Sgk2/C8a/Slc26a1/Rbp4/Cfb/F12/G6pc/Hnf4a/Kng2/Ttpa/Serpinf2/Tmprss6/Hal/Akr1c18/Slc17a4/Slc7a2/C6/Fxyd2/Abcg5/Dpys/Cfhr2/Agmo/Slc2a2/Slc6a12/Ugt2b1/Cdhr5/Apom/Shh/Fmo5/Rida/Bbox1/Glyat/Rgn/Sema4g/Serpina3n/Glud1/Hjv/Maob/Aldh1a7/Gpc3/Mgst1/Asgr1/Agxt/Slco1b2/Abcc6/Gltpd2/Cyp3a13/Hamp/C4bp/Aldh1l1/Cfhr1/Lrrc9/Hc/Nuggc/Cpb2/Klf15/Plg/Slc22a3/Ppargc1a/Rnase4/Gys2/Asgr2/Klb/Acox2/Phyh/Serpina6/A1cf/Amdhd1/Aldh6a1/Slc25a47/Serpina3c/Nr0b2/Serpina1e/Lbp/Slc47a1/Msmo1/Acot12/Slc17a2/Acadsb/Tm4sf4/Aadac/Tcea3/Abcg8/Gpam/Saa4/Cyp4f14/Gls2/Hp/Hao1/Cp/Proc/Hpn"
"ZHONG_PFC_C1_OPC","ZHONG_PFC_C1_OPC",231,-0.678388980759835,-3.28619093044496,1.10557830897711e-45,2.1929278207931e-43,1.57557204323703e-43,3570,"tags=70%, list=20%, signal=57%","Oip5/Fbxo5/Haus6/Esco2/Cntln/Poc1a/Ppif/Nrm/H4c14/Itgb3bp/Reep4/Tdp1/Tubb6/Rnf26/Cdc42bpa/Mns1/Tmpo/Tuba1b/Smc4/Ddias/Tubb4b/Brca1/Rnft2/Ston2/Kmt5a/Bard1/H2az1/Depdc1a/Gins2/Arhgef39/Ndc1/Mtfr1/Ska1/Cenpw/Kifc5b/Ncapg2/Rtkn2/Dsn1/Melk/Uhrf1/Aspm/Nudt1/Kpna2/Cenpn/Nuf2/Psrc1/H2az2/Ccdc18/Cdca5/Fam83d/Pif1/Polq/Kif15/Ncapd2/Arhgap11a/Dhfr/Kif14/Kif22/Hmgb1/Orc6/Lgals1/Fancd2/Bub3/Hmgb2/Cip2a/Hmgn2/Kifc1/Kif11/Rad51ap1/Troap/Mxd3/Bub1b/Diaph3/Pimreg/Ckap2/Sgo1/Cenpm/Rfwd3/Asf1b/Nek2/Racgap1/Foxm1/Ska3/Kif18b/Dtymk/Spc25/Shcbp1/Ect2/Kif20a/Aurkb/Cdc25c/Espl1/Ncapg/Cks2/Ccna2/Pclaf/Plk1/Trip13/Knl1/Hjurp/Ckap2l/Kif4/Kif2c/Cdc25b/Prc1/Ccnb1/Cep55/Cenpu/Gmnn/Hyls1/Sgo2a/Plk4/Cdc20/Actn1/Cdk1/Tacc3/Nusap1/H2ax/Cenpf/Cdca8/Aurka/Spdl1/Tk1/Gtse1/Parpbp/Birc5/Kif20b/Ube2s/Spag5/Mis18bp1/Smc2/Atad2/Cdca2/Mad2l1/Ccnb2/Tpx2/Kif23/Anln/Cks1b/Ccnf/Mki67/Ttk/Pbk/Ube2c/Cenpe/Prr11/Ccdc150/Rrm2/Dlgap5/Top2a/Phf19/Hmmr/Cdca3/Knstrn/Iqgap3/Ncaph/Ndc80/Bub1/Cenpa/Ube2t/Rad51"
"HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL","HE_LIM_SUN_FETAL_LUNG_C2_PROMONOCYTE_LIKE_CELL",280,-0.645316010936912,-3.20228933676427,1.25429617967193e-45,2.1929278207931e-43,1.57557204323703e-43,2116,"tags=52%, list=12%, signal=47%","Cenpw/Kifc5b/Tfdp1/Ncapg2/Kbtbd11/Cep78/Mis18a/Ncapd3/Dsn1/Mcemp1/Melk/Uhrf1/Nt5dc2/H2bc4/Padi4/Tyms/Aspm/Nsd2/Sac3d1/Cenpn/Nuf2/Tedc1/Psrc1/Ckap4/H3c1/Mybl2/Recql4/Ccdc18/Mcm2/Cdca7/Cdca5/Flnb/Kif15/Ear6/Ncapd2/Arhgap11a/Dhfr/Kif14/Cit/Lmnb1/Kif22/Orc6/Mcm6/Chek1/Fancd2/Incenp/Orc1/Cip2a/Kifc1/Kif11/Rad51ap1/Troap/Mxd3/Bub1b/Diaph3/Ckap2/Ska2/Mcm7/Rrm1/Sgo1/Cenpm/Rfwd3/Asf1b/Mcm8/H3c11/Racgap1/Foxm1/Ska3/Lig1/Kif18b/Dtymk/Spc25/Clspn/Shcbp1/Chaf1a/Kif20a/Aurkb/Ncapg/Ncaph2/Ccna2/Pclaf/Plk1/Fanci/Knl1/Lmnb2/Hjurp/Fanca/Ckap2l/Mcm3/Sae1/Hirip3/Rangap1/Kif2c/Cdc25b/Prc1/Ccnb1/Cep55/Cenpu/Gmnn/Sgo2a/Cdc20/Cdk1/Nusap1/H2ax/Cenpf/Gins4/Cdca8/Aurka/Spdl1/Tk1/Golm1/Gtse1/Birc5/Rfc5/Kif20b/Spc24/Ube2s/Ddx11/Spag5/Smc2/Atad2/Mad2l1/Ccnb2/Tpx2/Kif23/Anln/Cks1b/Ccnf/Mki67/Ube2c/Cenpe/Prr11/Kntc1/Rrm2/Dlgap5/Top2a/H1f5/Phf19/Hmmr/Cdca3/Knstrn/Ncaph/Ndc80/Cdc45/Bub1/Cenpa/Ube2t"
"AIZARANI_LIVER_C14_HEPATOCYTES_2","AIZARANI_LIVER_C14_HEPATOCYTES_2",195,0.724944103184348,3.33363360387575,1.29042891580447e-44,1.93379990382698e-42,1.38939414092632e-42,2330,"tags=58%, list=13%, signal=51%","Slc10a1/Fgb/Fga/Ttr/Mat1a/Hpd/Cyp2e1/Aldob/Apoc3/Apoa5/Fgg/Pck1/Hpx/Ces1d/Hmgcs2/Apoh/Serpinc1/Apoa2/Vtn/Apoc1/Itih3/Hgd/Cps1/Bhmt/Slc27a5/Cyp3a11/Cyp2b19/Igf2/Ambp/Tdo2/Mlxipl/Aldh8a1/Fgl1/Fbp1/Angptl3/Serpina3k/Tlcd4/Scd1/Akr1d1/Serpina3m/Serpina1b/Apoc4/Pbld1/Apob/Ftcd/Adh1/Apoa1/Itih1/Gjb1/Ahsg/C2/Baat/Reep6/F2/Gc/F9/C8a/Prg4/Rbp4/Cfb/F12/Haao/Cyp8b1/Kng2/Abat/Serpinf2/C1s1/Dpys/Cfhr2/Crp/Apom/Mst1/Ifitm3/Rida/Acaa2/Pcbd1/Glyat/Rgn/Serpina3n/C9/Slc22a1/Aldh1a7/Mgst1/Asgr1/Agxt/Hamp/C4bp/Aldh1l1/Serping1/Pon1/Cfhr1/Plg/Nnmt/Asgr2/Phyh/Serpina6/Orm2/A1cf/Cfh/Aldh6a1/Qprt/Serpina3c/Serpina1e/Lbp/Acsm5/Sds/C3/Pipox/Saa4/Hp/Hao1/Cp/Hpn/Orm1"
"FAN_EMBRYONIC_CTX_MICROGLIA_1","FAN_EMBRYONIC_CTX_MICROGLIA_1",152,-0.75401120519135,-3.47236883782153,1.3828418629627e-43,1.81325139280984e-41,1.30278259721223e-41,1669,"tags=64%, list=9%, signal=58%","Aspm/Kpna2/Cenpn/Nuf2/H2az2/Ccdc18/Fam83d/Polq/Kif15/Ncapd2/Arhgap11a/Kif14/Cit/Kif22/Fancd2/Bub3/Hmgb2/Kif11/Rad51ap1/Troap/Mxd3/Bub1b/Diaph3/Pimreg/Ckap2/Sgo1/Cenpm/Asf1b/Foxm1/Kif18b/Dtymk/Spc25/Clspn/Shcbp1/Mrpl18/Kif20a/Aurkb/Cdc25c/Espl1/Ncapg/Cks2/Ccna2/Pclaf/Plk1/Knl1/Hjurp/Ckap2l/Kif4/Kif2c/Prc1/Ccnb1/Cep55/Cenpu/Sgo2a/Plk4/Cdc20/Cdk1/Tacc3/Nusap1/H2ax/Cenpf/Cdca8/Aurka/Tk1/Gtse1/Birc5/Kif20b/Spag5/Smc2/Atad2/Cdca2/Mad2l1/Ccnb2/Tpx2/Kif23/Anln/Cks1b/Ccnf/Mki67/Ttk/Pbk/Ube2c/Cenpe/Prr11/Siva1/Rrm2/Dlgap5/Top2a/Phf19/Hmmr/Cdca3/Knstrn/Iqgap3/Ncaph/Ndc80/Bub1/Ube2t"
"SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE","SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE",228,-0.669993765156062,-3.2532200973618,8.70418624001481e-43,1.01452126286395e-40,7.28911970508843e-41,2892,"tags=58%, list=16%, signal=50%","Banf1/Tmpo/Glo1/Tuba1b/Smc4/Rbbp7/Atp5j2/Nutf2/Bard1/Cenph/Bola3/Isyna1/Depdc1a/Smtn/Sdr39u1/Glrx5/Cenpw/Atp5g3/Kifc5b/Naxe/Tyms/Aspm/Kpna2/Sac3d1/Cenpn/Nuf2/Psrc1/Ndufb11/Ptms/Tubg1/Krtcap2/Cdca5/Parp1/Lsm7/Pgp/Micos10/Lamtor2/Yif1b/Arhgap11a/Ybx1/Dhfr/Snrpf/Kif14/Kif22/Hmgb1/Snrpg/Raly/Bub3/Myo10/Hmgn2/Kifc1/Rad51ap1/Troap/Mxd3/Dynll1/Diaph3/Pimreg/Ckap2/Ska2/Mcm7/Rrm1/Sgo1/Ruvbl2/Ndufb2/Asf1b/Elob/Nek2/Racgap1/Foxm1/Dut/Dtymk/Atox1/Atp5e/Spc25/Clspn/Aurkb/Hmgn1/Ccna2/Pclaf/Plk1/Trip13/Lmnb2/Hjurp/Ckap2l/Kif4/Calm3/Tmem97/Prc1/Ccnb1/Cep55/Cenpu/Gmnn/Sgo2a/Cdc20/Cdk1/Tacc3/Nusap1/H2ax/Cenpf/Cyc1/Cdca8/Aurka/Tk1/Gtse1/Birc5/Kif20b/Polr2l/Smc2/Atad2/Mad2l1/Ccnb2/Snrpa/Ldhb/Tpx2/Kif23/Anln/Cks1b/Mki67/Pbk/Ube2c/Cenpe/Siva1/Rrm2/Top2a/Phf19/Hmmr/Cdca3/Knstrn/Iqgap3/Ndc80/Cox8a/Cenpa/Ube2t"
"HE_LIM_SUN_FETAL_LUNG_C3_CYCLING_DEFINITIVE_ERYTHROBLAST","HE_LIM_SUN_FETAL_LUNG_C3_CYCLING_DEFINITIVE_ERYTHROBLAST",422,-0.559762428441678,-2.89643909170487,1.86186522347236e-42,1.95309661942251e-40,1.40325842105917e-40,3920,"tags=53%, list=22%, signal=42%","Lrr1/Chek2/Ankle1/Fam72a/Cdkn2c/Tspo2/Pkmyt1/Hells/Aen/Epor/Sass6/Cdkn3/Mfsd2b/Oip5/Fbxo5/Tfr2/Esco2/Poc1a/Ppif/Rgs10/Fen1/Kmt5c/Ttf2/Mcm4/Lnpk/Atad5/Gfi1b/Mphosph9/Pold1/Prr5/H2bc6/Ssx2ip/Dnajc9/H2ac8/Specc1/Sfxn4/Ermap/H2ac10/Miga2/Exo1/Acsl6/Art4/Prim1/Elovl6/Brca1/Kmt5a/Rmi2/Cenph/Mcm10/Dbf4/Neil3/Depdc1a/Kremen1/Gins2/Arhgef39/Ska1/Plek2/Tmem86b/Cenpw/Kifc5b/Tfdp1/Slc20a1/Top1mt/Ncapg2/Rab6b/Mis18a/Ncapd3/Dsn1/Melk/Cd82/Uhrf1/H2bc4/Tyms/Spint2/Aspm/Nsd2/Nudt1/Gen1/Kpna2/Alad/Cenpn/Nuf2/H3c1/Mybl2/Mcm5/Recql4/Chst2/Ccdc18/Ppme1/Mcm2/Hbq1b/Mgme1/Cdca5/Fam83d/Polq/Kif15/Pgp/Ncapd2/Pip5k1b/Arhgap11a/Dhfr/Kif14/Kif22/H2ac4/Orc6/Agpat5/Mcm6/Chek1/Orc1/Cip2a/Kifc1/Kif11/Pmm1/Rad51ap1/Troap/E2f8/Mxd3/Bub1b/Diaph3/Ckap2/Ska2/Rrm1/Sgo1/Stil/Cenpm/Asf1b/Nek2/Kcnh2/Donson/H3c11/Ubac1/Racgap1/Foxm1/Ska3/Lig1/H4c6/Spc25/Clspn/Aqp3/Shcbp1/Ccne1/Ect2/Chaf1a/Kif20a/Aurkb/Ncapg/Ncaph2/Cks2/Ccna2/Pclaf/Plk1/Trip13/Fanci/Knl1/Hjurp/Zwilch/Fanca/Ckap2l/Kif4/Kif2c/Prc1/Ccnb1/Cenpu/Gmnn/Sgo2a/Plk4/Cdc20/Cdk1/Tacc3/Nusap1/Cenpf/Cdca8/H4c11/Tubb1/Aurka/Tk1/Gtse1/Parpbp/Birc5/Mthfd1/Rfc5/Kif20b/Xk/Spc24/Ube2s/Spag5/Ttll12/Smc2/Atad2/Cpox/Cdca2/Epcam/Rad54l/Mad2l1/H2bc3/Ccnb2/Osbp2/Tpx2/Kif23/Anln/Cks1b/Ccnf/Mki67/Ttk/Cdc6/Pbk/Ube2c/Cenpe/Rrm2/Dlgap5/Top2a/H1f5/Hmmr/Cdca3/Knstrn/Ncaph/H3c7/Ndc80/Add2/Cdc45/Bub1/Cenpa/Ube2t/H2ac20"
